,Temperature,Humidity,Wind Speed,Precipitation (%),Atmospheric Pressure,UV Index,Visibility (km),Cloud Cover_clear,Cloud Cover_cloudy,Cloud Cover_overcast,Cloud Cover_partly cloudy,Season_Autumn,Season_Spring,Season_Summer,Season_Winter,Location_coastal,Location_inland,Location_mountain,Weather Type,prediction
1427,0.9144459561263834,-0.2775987213926877,-0.5549740966366787,-1.3622494255115483,0.2543180086334134,0.25212202531288347,0.7481971299710609,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3,3
6290,-1.560913335647299,0.11745442590873312,-0.7719529484236931,0.7628951920668411,-0.3370751081884767,-0.785146344144231,-0.5860491451476112,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2,2
7875,0.2812145093935809,-0.5245069384560758,-0.12101639306265005,-1.581014312615206,0.2672836742818578,0.5114391176771621,0.7481971299710609,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3,3
12427,0.16608151907852592,-1.0677050159955292,-0.19334267699165483,-1.2059887918660785,0.22415299059417645,0.5114391176771621,0.4516979577224671,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3,3
1818,0.6266134803387459,1.500140441463706,1.3255092855174455,0.9191558257123109,-0.11798181927191163,1.8080245794985552,0.5999475438467641,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
5013,0.3387810045511084,0.3643626429721211,0.7468990140854073,0.2941132911304317,-0.20688924086124305,-0.26651215941567374,-0.14130038677472048,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1
312,-0.6398494131268591,0.9075607205115748,0.02363617479535951,1.5754504870232842,-0.1973634456909572,-0.785146344144231,-1.4755466618933926,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2,2
7056,0.05094852876347092,0.6112708600355091,-0.4103215287786692,1.2316770930032506,-0.19445278605559185,-0.26651215941567374,-0.4377995590233143,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1
10542,-1.0428148792295515,0.018691139083377908,0.6022464462273978,0.012844150568586054,-0.4360375357908871,-1.0444634365085097,-1.3272970757690956,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2,2
6443,0.6841799754962734,-1.5615214501223054,-0.9166055162817026,-1.3622494255115483,0.2993009302708708,1.5487074871342765,0.8964467160953579,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3,3
11673,0.2236480142360534,-2.351627744725147,-0.33799524484966437,-1.1122324116787965,0.281572367037285,1.0300733024057194,1.0446963022196547,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3,3
2919,0.4539139948661634,0.11745442590873312,0.4575938783693882,-0.8934675245751388,0.14159609911836896,-0.26651215941567374,0.1551987854738733,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
5820,-0.985248384072024,1.7964303019397716,2.0487721248074933,1.637954740481472,-0.4357729303694905,0.5114391176771621,-1.3272970757690956,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2,2
8289,0.5690469851812184,1.1050872941622851,-0.6273003805656835,0.4816260515049955,-0.29050455402263686,-0.26651215941567374,-0.882548317396205,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1
12343,0.4539139948661634,-1.9071929540110486,0.3852675944403834,-0.8622153978460448,0.6157690142614698,-0.26651215941567374,4.157937610829889,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,1
4144,-1.0428148792295515,1.3519955112256732,1.1085304337304311,0.5128781782340894,-0.4603812345593933,0.7707562100414407,-1.1790474896447989,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2,2
1231,-1.330647355017189,-1.5121398067096279,0.16828874265336907,0.7316430653377471,2.8003513733136023,-0.26651215941567374,3.416689680208405,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3,3
2247,0.05094852876347092,-1.0183233725828518,-1.0612580841397121,-1.1747366651369846,0.6210611226894013,0.5114391176771621,1.0446963022196547,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3,3
10111,-0.9276818889144965,0.9569423639242524,-0.6996266644946882,0.012844150568586054,-0.4852541441706957,-1.0444634365085097,-0.734298731271908,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2,2
1312,0.3963474997086359,-0.3763620082180429,1.3978355694464504,0.7628951920668411,-0.11798181927191163,-0.26651215941567374,-0.2895499728990174,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,1
12990,0.2812145093935809,0.11745442590873312,0.8915515819434169,0.5753824316922773,-0.0269575543114046,-0.5258292517799524,-0.2895499728990174,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1
4445,-1.560913335647299,1.4013771546383509,0.02363617479535951,0.07534840402677398,-0.24155255106422482,-1.0444634365085097,-0.4377995590233143,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2,2
4055,1.7779433834892957,0.46312592979747635,-0.12101639306265005,1.3254334731905324,0.5938067642855297,2.585975856591391,0.30344837159817023,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3,3
1726,0.3963474997086359,-0.2775987213926877,-0.5549740966366787,0.3566175445886196,-0.38205802982593706,-0.785146344144231,-0.734298731271908,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1
7226,-1.6184798308048265,0.9075607205115748,1.0362041498014265,1.3879377266487203,-0.29685508413616074,-1.0444634365085097,-0.734298731271908,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2,2
4813,0.4539139948661634,0.46312592979747635,-0.33799524484966437,-0.2996771167223536,0.08814580399621208,-0.5258292517799524,0.30344837159817023,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
11453,-1.100381374387079,0.6112708600355091,1.3978355694464504,0.3566175445886196,-0.4296870056773632,-0.785146344144231,-0.734298731271908,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2,2
8188,-0.40958343249674906,0.759415790273542,1.3255092855174455,0.7316430653377471,-0.29182758112961976,-0.5258292517799524,-0.5860491451476112,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,1
5961,-0.12175095670911157,0.06807278249605551,0.4575938783693882,-0.6434505107423871,4.123907691140489,-0.785146344144231,-1.6237962480176895,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2,3
4351,1.0871454415989659,-0.7714151555194637,-0.19334267699165483,-1.2059887918660785,0.35645570129258575,0.7707562100414407,0.7481971299710609,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3,3
11009,0.5690469851812184,0.5125075732101539,-0.48264781270767393,0.6691388118795593,0.17414256595017813,-0.785146344144231,-1.030797903520502,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,1
6480,0.16608151907852592,-0.623270225281431,-0.2656689609206596,-1.1434845384078904,0.4755281409211511,1.8080245794985552,0.4516979577224671,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3,3
12597,0.5114804900236909,0.9075607205115748,1.180856717659436,1.1379207128159687,-0.2815079696951442,-0.26651215941567374,-1.1790474896447989,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1
11901,-0.23688394702416657,1.00632400733693,3.2059926676715698,1.0129122058995927,0.2725757827097923,-0.785146344144231,-1.030797903520502,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,1
13110,-0.006617966394056577,-0.7220335121067861,-0.5549740966366787,-0.5184420038260112,-0.15582039453165536,-0.5258292517799524,0.8964467160953579,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0
3083,0.5690469851812184,1.7964303019397716,0.9638778658724216,0.5441303049631834,-0.02960360852537339,1.289390394769998,-1.4755466618933926,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1
10493,1.6628103931742408,0.5125075732101539,-0.9889318002107074,0.6378866851504653,4.987050575736908,2.0673416718628337,-1.3272970757690956,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0
6828,0.2812145093935809,-0.5245069384560758,-1.3505632198557314,-1.1434845384078904,0.25405340321201686,-0.007195067051395136,0.5999475438467641,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0
2729,0.4539139948661634,0.4137442863847987,-0.7719529484236931,-1.3622494255115483,-3.1956074755383073,1.5487074871342765,0.30344837159817023,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2,3
12614,0.3963474997086359,0.9569423639242524,0.529920162298393,1.5441983602941902,0.13630399069043136,-0.007195067051395136,-1.030797903520502,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1
6908,-1.3882138501747165,0.6606525034481867,-0.12101639306265005,1.0754164593577809,-0.23705425890047999,-0.785146344144231,-0.2895499728990174,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2,2
10046,-1.5033468404897714,0.26559935614676594,-0.6273003805656835,0.7628951920668411,-0.4654087375659343,-1.0444634365085097,-0.5860491451476112,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2,2
722,-0.2944504421816941,0.21621771273408832,0.4575938783693882,-0.4246856236387294,0.2868644754652226,-0.785146344144231,0.7481971299710609,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
11781,-1.0428148792295515,1.253232224400318,0.16828874265336907,1.0441643326286867,-0.4868417766990752,-0.785146344144231,-0.4377995590233143,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2,2
9314,0.3387810045511084,0.9569423639242524,-0.5549740966366787,0.5753824316922773,-0.3370751081884767,-1.0444634365085097,-0.4377995590233143,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1
8224,-0.006617966394056577,0.21621771273408832,1.2531830015884406,0.8253994455250291,0.049778017893672186,-0.5258292517799524,-0.882548317396205,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,1
5159,-0.12175095670911157,1.3519955112256732,-0.2656689609206596,1.0441643326286867,0.2593455116399514,-0.26651215941567374,-0.882548317396205,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,1
3733,0.5690469851812184,-0.3269803648053653,-0.6273003805656835,-0.4246856236387294,-0.051565858501310416,-0.785146344144231,0.1551987854738733,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
11319,0.3963474997086359,1.3026138678129955,0.529920162298393,0.6691388118795593,0.13074727684109722,-0.26651215941567374,-0.5860491451476112,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1
9823,-0.5247164228118041,0.46312592979747635,1.2531830015884406,0.3878696713177136,0.24664445141290664,-0.26651215941567374,-0.5860491451476112,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1
2200,0.05094852876347092,-1.0183233725828518,-0.2656689609206596,-1.518510059157018,0.49219828246915354,1.5487074871342765,0.5999475438467641,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3,3
1425,-0.2944504421816941,0.3643626429721211,-0.8442792323526979,-0.20592073653507167,0.2940088218429362,-0.785146344144231,0.5999475438467641,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0
9729,0.3387810045511084,0.46312592979747635,-0.9166055162817026,-0.33092924345144753,-0.13703340961248028,-0.785146344144231,0.5999475438467641,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0
5978,-0.870115393756969,0.8581790770988972,0.8192252980144121,0.1378526574849619,-0.612529351862564,-0.785146344144231,-1.3272970757690956,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2,2
5728,0.7993129658113284,-0.3763620082180429,-0.48264781270767393,0.23160903767224378,-0.2595457197192102,-1.0444634365085097,-1.1790474896447989,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1
3350,-0.5247164228118041,-0.8701784423448189,-0.6996266644946882,-1.2059887918660785,0.24320458093474512,-0.5258292517799524,0.5999475438467641,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0
9005,-0.985248384072024,1.2038505809876403,-0.9889318002107074,0.6378866851504653,-0.5863334151442787,-0.785146344144231,-1.1790474896447989,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2,2
11333,0.9144459561263834,-2.104719527661759,-0.19334267699165483,-1.2372409185951725,0.24452760804173101,0.7707562100414407,0.8964467160953579,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3,3
4002,-1.6184798308048265,0.759415790273542,-0.2656689609206596,1.1691728395450627,-0.5400274663998355,-0.785146344144231,-0.14130038677472048,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2,2
11064,0.05094852876347092,-0.42574365163072053,-0.33799524484966437,-0.5184420038260112,0.09264409615995692,-0.5258292517799524,0.8964467160953579,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0
9519,-0.46714992765427654,0.31498099955944353,0.6745727301564025,0.9504079524414049,0.060097629328147745,-0.5258292517799524,-0.5860491451476112,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,1
7604,-1.3882138501747165,1.1544689375749628,0.4575938783693882,0.7316430653377471,-0.5006012586117092,-0.785146344144231,-0.882548317396205,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2,2
2517,-0.06418446155158407,0.4137442863847987,0.529920162298393,-0.2996771167223536,-0.01293346697737394,-0.785146344144231,0.4516979577224671,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0
8260,0.3963474997086359,0.4137442863847987,-0.5549740966366787,0.044096277297680016,1.955466262793559,-0.785146344144231,2.6754417495869207,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3,1
3010,0.3387810045511084,-1.5615214501223054,-0.48264781270767393,-1.45600580569883,0.34931135491487214,0.7707562100414407,0.30344837159817023,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3,3
379,1.0295789464414384,1.993956875590482,1.7594669890914743,1.2629292197323445,0.35063438202185504,-1.0444634365085097,-1.1790474896447989,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1
174,-1.3882138501747165,1.253232224400318,-0.12101639306265005,0.2941132911304317,-0.4312746382057427,-1.0444634365085097,-0.14130038677472048,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2,2
4269,1.0295789464414384,-1.610903093534983,-0.33799524484966437,-1.0809802849497026,0.12439674672757635,1.0300733024057194,1.3411954744682486,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3,3
457,-0.23688394702416657,0.31498099955944353,-0.5549740966366787,-0.7372068909296691,0.12016305998522508,-0.5258292517799524,0.30344837159817023,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0
8537,0.2812145093935809,0.1668360693214107,2.772034964097541,0.7628951920668411,-0.2283222799943839,-0.26651215941567374,-1.3272970757690956,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,1
2456,-1.330647355017189,-0.42574365163072053,-0.33799524484966437,0.6378866851504653,-0.18968988847044743,-1.0444634365085097,-0.5860491451476112,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2,2
9468,-0.2944504421816941,1.253232224400318,0.7468990140854073,0.6066345584213714,0.1249259575703695,-0.785146344144231,-0.5860491451476112,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1
12504,1.2598449270715484,-1.7096663803603382,-0.04869010913364527,-1.581014312615206,0.23950010503519,1.0300733024057194,0.7481971299710609,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3,3
1638,0.6841799754962734,-1.2158499462335621,-0.6273003805656835,0.9191558257123109,-2.1448593471715425,2.0673416718628337,0.7481971299710609,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0
11329,0.9144459561263834,-2.351627744725147,-1.133584368068717,-1.3935015522406422,0.1807577014850986,0.7707562100414407,0.5999475438467641,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3,3
10961,0.4539139948661634,-1.5615214501223054,-0.6996266644946882,-1.1747366651369846,0.26304998753950654,1.5487074871342765,1.0446963022196547,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3,3
823,-0.006617966394056577,1.3026138678129955,-1.133584368068717,0.6378866851504653,-0.06267928619997572,-0.007195067051395136,-1.030797903520502,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0
7045,-1.560913335647299,0.6112708600355091,-0.4103215287786692,0.5753824316922773,-0.21085832218219472,-1.0444634365085097,-1.3272970757690956,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2,2
9597,-1.560913335647299,-1.7590480237730157,-0.6273003805656835,0.5753824316922773,0.41784415905664596,1.5487074871342765,2.8236913357112177,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1
6999,0.10851502392099842,0.21621771273408832,0.31294131051137863,0.7316430653377471,0.6189442793182287,-0.007195067051395136,1.7859442328411392,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3,3
11153,0.8568794609688559,-0.6726518686941085,-1.0612580841397121,-0.5809462572841992,-0.09390272592479898,-0.785146344144231,1.0446963022196547,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0
397,-0.40958343249674906,0.26559935614676594,0.8915515819434169,0.7628951920668411,-0.31775891242650844,-0.5258292517799524,-1.030797903520502,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1
4344,1.1447119367564933,-0.623270225281431,-0.12101639306265005,-1.487257932427924,0.5414148908489592,0.25212202531288347,0.8964467160953579,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3,3
12709,0.10851502392099842,-0.5245069384560758,0.4575938783693882,-0.9872239047624207,0.29189197847176057,-0.5258292517799524,0.4516979577224671,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0
12941,0.10851502392099842,-1.1664683028208847,-0.48264781270767393,-1.1122324116787965,0.19240034002655704,1.0300733024057194,1.1929458883439517,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3,3
7863,0.6266134803387459,-0.3763620082180429,-0.8442792323526979,-1.3935015522406422,0.20192613519684285,1.5487074871342765,0.006949199349576417,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3,3
8919,-1.676046325962354,-0.3763620082180429,-0.2656689609206596,0.7941473187959351,-0.36697552080631707,-0.785146344144231,-0.2895499728990174,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2,2
3921,1.202278431914021,-1.0183233725828518,-0.8442792323526979,-1.2997451720533604,0.17731783100694007,1.289390394769998,1.1929458883439517,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3,3
6189,-0.006617966394056577,0.5618892166228315,2.121098408736498,0.5128781782340894,0.0050597016776084,1.8080245794985552,-0.4377995590233143,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0
6459,-1.100381374387079,0.1668360693214107,-0.33799524484966437,0.5128781782340894,-0.40613712317304673,-1.0444634365085097,-1.1790474896447989,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2,2
554,0.3963474997086359,-0.030690504329299696,-0.48264781270767393,-0.6747026374714811,0.2601393279041442,-0.5258292517799524,0.1551987854738733,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0
12806,-1.0428148792295515,0.7100341468608643,1.0362041498014265,1.0441643326286867,-0.5437319422993906,-0.785146344144231,-0.734298731271908,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2,2
8538,0.6266134803387459,0.4137442863847987,-0.9889318002107074,-1.0809802849497026,0.0010906203566567224,-0.26651215941567374,0.1551987854738733,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0
2763,-1.445780345332244,0.5125075732101539,1.180856717659436,0.9816600791704989,-0.4143398912363466,-0.785146344144231,-0.2895499728990174,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2,2
2475,-0.46714992765427654,-0.0800721477419773,-1.2782369359267265,-0.799711144387857,0.3474591169650931,-0.785146344144231,0.30344837159817023,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
6052,1.2598449270715484,-0.1788354345673325,-1.3505632198557314,-1.2372409185951725,0.20192613519684285,1.5487074871342765,0.1551987854738733,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3,3
3964,0.2812145093935809,-1.363994876471595,-0.9166055162817026,-1.1434845384078904,0.1542971593454167,0.7707562100414407,0.1551987854738733,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3,3
10962,-1.6184798308048265,-0.0800721477419773,1.180856717659436,1.4191898533778142,-0.2987073220859368,-0.785146344144231,-1.030797903520502,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2,2
8098,0.16608151907852592,0.8581790770988972,0.24061502658237385,0.4816260515049955,-0.4095769936512052,-0.785146344144231,-1.3272970757690956,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,1
3021,0.3963474997086359,-0.22821707798001012,0.09596245872436429,-0.4246856236387294,0.2421461592491588,-0.26651215941567374,0.1551987854738733,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0
8910,0.5690469851812184,0.3643626429721211,3.4952978033875888,0.5128781782340894,-0.2698653311536857,1.289390394769998,-0.882548317396205,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1
5001,0.9720124512839109,-0.7220335121067861,-0.9166055162817026,-1.3622494255115483,0.41228744520731486,0.5114391176771621,0.5999475438467641,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3,3
9455,0.6266134803387459,-2.3022461013124693,-1.0612580841397121,-1.2059887918660785,0.49722578547569457,1.8080245794985552,0.1551987854738733,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3,3
393,0.8568794609688559,-0.9195600857574966,-0.33799524484966437,-0.39343349690963547,0.18181612317068488,-0.5258292517799524,0.4516979577224671,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0
5981,0.5114804900236909,0.4137442863847987,-0.2656689609206596,1.0754164593577809,-0.13571038250549738,2.0673416718628337,-0.4377995590233143,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0
3774,0.2812145093935809,0.46312592979747635,0.3852675944403834,1.5441983602941902,-0.04495072296638995,-0.5258292517799524,-0.2895499728990174,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1
12516,0.05094852876347092,-0.0800721477419773,-0.4103215287786692,-1.2684930453242664,0.2185962767448423,1.289390394769998,0.8964467160953579,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3,3
